Samples	Origin	Outbreak	Type	Sample_origin
BWD-64-1250	Sink 2021	5	Sink drain	P-trap
BWD-64-1257	Sink 2021	5	Sink drain	P-trap
BWD-64-1264	Sink 2021	5	Sink drain	P-trap
BWD-64-1271	Sink 2021	5	Sink drain	P-trap
BWD-64-1278	Sink 2021	5	Sink drain	P-trap
BWD-67-1349	Sink 2021	5	Sink drain	P-trap
BWD-72-1229	Sink 2021	5	Sink drain	P-trap
BWD-72-1250	Sink 2021	5	Sink drain	P-trap
BWD-72-1278	Sink 2021	5	Sink drain	P-trap
BWD-73-1229	Sink 2021	5	Sink drain	P-trap
BWD-73-1250	Sink 2021	5	Sink drain	P-trap
BWD-73-1278	Sink 2021	5	Sink drain	P-trap
BWD-73-1285	Sink 2021	5	Sink drain	P-trap
BWD-73-1292	Sink 2021	5	Sink drain	P-trap
BWD-73-1301	Sink 2021	5	Sink drain	P-trap
BWD-73-1306	Sink 2021	5	Sink drain	P-trap
BWD-79-1229	Sink 2021	5	Sink drain	P-trap
BWD-79-1236	Sink 2021	5	Sink drain	P-trap
BWD-79-1243	Sink 2021	5	Sink drain	P-trap
BWD-79-1250	Sink 2021	5	Sink drain	P-trap
BWD-79-1257	Sink 2021	5	Sink drain	P-trap
BWD-79-1264	Sink 2021	5	Sink drain	P-trap
BWD-79-1271	Sink 2021	5	Sink drain	P-trap
BWD-79-1278	Sink 2021	5	Sink drain	P-trap
BWD-80-1257	Sink 2021	5	Sink drain	P-trap
BWD-80-1326	Sink 2021	5	Sink drain	P-trap
BWD-80-2028	Sink 2021	5	Sink drain	P-trap
BWD-PLMR-1229	Sink 2021	5	Sink drain	P-trap
BWD-PLMR-1236	Sink 2021	5	Sink drain	P-trap
BWD-PLMR-1243	Sink 2021	5	Sink drain	P-trap
BWD-PLMR-1250	Sink 2021	5	Sink drain	P-trap
BWD-PLMR-1257	Sink 2021	5	Sink drain	P-trap
BWD-PLMR-1264	Sink 2021	5	Sink drain	P-trap
BWD-PLMR-1271	Sink 2021	5	Sink drain	P-trap
BWD-PLMR-1278	Sink 2021	5	Sink drain	P-trap
BWD-PLMS-1229	Sink 2021	5	Sink drain	P-trap
BWD-PLMS-1236	Sink 2021	5	Sink drain	P-trap
BWD-PLMS-1243	Sink 2021	5	Sink drain	P-trap
BWD-PLMS-1250	Sink 2021	5	Sink drain	P-trap
BWD-PLMS-1257	Sink 2021	5	Sink drain	P-trap
BWD-PLMS-1264	Sink 2021	5	Sink drain	P-trap
BWD-PLMS-1271	Sink 2021	5	Sink drain	P-trap
BWD-PLMS-1278	Sink 2021	5	Sink drain	P-trap
BWD-PLMS-1326	Sink 2021	5	Sink drain	P-trap
WD-52-0014	Sink 2020	4	Sink drain	P-trap
WD-52-0028	Sink 2020	4	Sink drain	P-trap
WD-52-0042	Sink 2020	4	Sink drain	P-trap
WD-55-0042	Sink 2020	4	Sink drain	P-trap
WD-63-0014	Sink 2020	4	Sink drain	P-trap
WD-63-0028	Sink 2020	4	Sink drain	P-trap
WD-63-0042	Sink 2020	4	Sink drain	P-trap
WD-63-9295-Sm	Sink 2019	3	Sink drain	P-trap
WD-64-0014	Sink 2020	4	Sink drain	P-trap
WD-64-0028	Sink 2020	4	Sink drain	P-trap
WD-64-0042	Sink 2020	4	Sink drain	P-trap
WD-64-9295-Sm1	Sink 2019	3	Sink drain	P-trap
WD-72-0021	Sink 2020	4	Sink drain	P-trap
WD-72-0035	Sink 2020	4	Sink drain	P-trap
WD-72-0049	Sink 2020	4	Sink drain	P-trap
WD-72-9295-Sm1	Sink 2019	3	Sink drain	P-trap
WD-72-9295-Sm2	Sink 2019	3	Sink drain	P-trap
WD-73-0021	Sink 2020	4	Sink drain	P-trap
WD-73-0035	Sink 2020	4	Sink drain	P-trap
WD-73-0049	Sink 2020	4	Sink drain	P-trap
WD-80-0014	Sink 2020	4	Sink drain	P-trap
WD-80-0028	Sink 2020	4	Sink drain	P-trap
WD-80-0042	Sink 2020	4	Sink drain	P-trap
WD-80-9288-Sm1	Sink 2019	3	Sink drain	P-trap
WD-80-9288-Sm2	Sink 2019	3	Sink drain	P-trap
WD-80-9288-Sm3	Sink 2019	3	Sink drain	P-trap
WDPLM-0021	Sink 2020	4	Sink drain	P-trap
WDPLM-0035	Sink 2020	4	Sink drain	P-trap
WD-PLM-0049	Sink 2020	4	Sink drain	P-trap
BD1b-2wD	Sink 2019	1	Sink drain	P-trap
